Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, FURGONETAS, MOTOCICLETAS, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;35469807
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2167247
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346353
TOTAL;CICLOMOTORES;TOTAL;1886232
TOTAL;FURGONETAS;TOTAL;2531820
TOTAL;MOTOCICLETAS;TOTAL;3764655
TOTAL;TURISMOS;TOTAL;24773500
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;48049
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47388
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;14
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;638
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9090
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9019
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;67
Andalucía/Almería;CICLOMOTORES;TOTAL;41623
Andalucía/Almería;CICLOMOTORES;Diesel;1198
Andalucía/Almería;CICLOMOTORES;Eléctrico;203
Andalucía/Almería;CICLOMOTORES;Gasolina;40220
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41676
Andalucía/Almería;FURGONETAS;Diesel;35923
Andalucía/Almería;FURGONETAS;Eléctrico;34
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;34
Andalucía/Almería;FURGONETAS;Gasolina;5682
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;48609
Andalucía/Almería;MOTOCICLETAS;Diesel;98
Andalucía/Almería;MOTOCICLETAS;Eléctrico;91
Andalucía/Almería;MOTOCICLETAS;Gasolina;48416
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;TURISMOS;TOTAL;384090
Andalucía/Almería;TURISMOS;Butano;2
Andalucía/Almería;TURISMOS;Diesel;258319
Andalucía/Almería;TURISMOS;Eléctrico;264
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;482
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;4
Andalucía/Almería;TURISMOS;Gas Natural Licuado;1
Andalucía/Almería;TURISMOS;Gasolina;124999
Andalucía/Almería;TURISMOS;Otros;15
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;CAMIONES HASTA 3500kg;TOTAL;47836
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Diesel;46803
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Eléctrico;28
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;18
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Natural Comprimido;7
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gasolina;978
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Sin especificar;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;TOTAL;5706
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Diesel;5649
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Eléctrico;4
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;14
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gasolina;36
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Otros;1
Andalucía/Cádiz;CICLOMOTORES;TOTAL;103392
Andalucía/Cádiz;CICLOMOTORES;Diesel;2490
Andalucía/Cádiz;CICLOMOTORES;Eléctrico;432
Andalucía/Cádiz;CICLOMOTORES;Gasolina;100468
Andalucía/Cádiz;CICLOMOTORES;Sin especificar;2
Andalucía/Cádiz;FURGONETAS;TOTAL;39531
Andalucía/Cádiz;FURGONETAS;Biodiesel;1
Andalucía/Cádiz;FURGONETAS;Diesel;33368
Andalucía/Cádiz;FURGONETAS;Eléctrico;42
Andalucía/Cádiz;FURGONETAS;Gas Licuado de Petroleo;35
Andalucía/Cádiz;FURGONETAS;Gas Natural Comprimido;4
Andalucía/Cádiz;FURGONETAS;Gasolina;6080
Andalucía/Cádiz;FURGONETAS;Otros;1
Andalucía/Cádiz;MOTOCICLETAS;TOTAL;113583
Andalucía/Cádiz;MOTOCICLETAS;Diesel;116
Andalucía/Cádiz;MOTOCICLETAS;Eléctrico;1727
Andalucía/Cádiz;MOTOCICLETAS;Gas Licuado de Petroleo;8
Andalucía/Cádiz;MOTOCICLETAS;Gasolina;111720
Andalucía/Cádiz;MOTOCICLETAS;Otros;2
Andalucía/Cádiz;MOTOCICLETAS;Sin especificar;10
Andalucía/Cádiz;TURISMOS;TOTAL;593156
Andalucía/Cádiz;TURISMOS;Biodiesel;2
Andalucía/Cádiz;TURISMOS;Biometano;1
Andalucía/Cádiz;TURISMOS;Butano;2
Andalucía/Cádiz;TURISMOS;Diesel;354739
Andalucía/Cádiz;TURISMOS;Eléctrico;390
Andalucía/Cádiz;TURISMOS;Etanol;1
Andalucía/Cádiz;TURISMOS;Gas Licuado de Petroleo;572
Andalucía/Cádiz;TURISMOS;Gas Natural Comprimido;67
Andalucía/Cádiz;TURISMOS;Gasolina;237368
Andalucía/Cádiz;TURISMOS;Hidrógeno;1
Andalucía/Cádiz;TURISMOS;Otros;8
Andalucía/Cádiz;TURISMOS;Sin especificar;5
Andalucía/Córdoba;CAMIONES HASTA 3500kg;TOTAL;34449
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Diesel;33889
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Eléctrico;38
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;12
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gasolina;509
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;TOTAL;6516
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Diesel;6457
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;5
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gasolina;54
Andalucía/Córdoba;CICLOMOTORES;TOTAL;51408
Andalucía/Córdoba;CICLOMOTORES;Diesel;1587
Andalucía/Córdoba;CICLOMOTORES;Eléctrico;129
Andalucía/Córdoba;CICLOMOTORES;Gasolina;49689
Andalucía/Córdoba;CICLOMOTORES;Sin especificar;3
Andalucía/Córdoba;FURGONETAS;TOTAL;51484
